post_name;poids;Région;Domaine;Appellation;Couleur;Cépage;Millésime;Garde;Contenance;Degré d'alcool;Température dégustation;Alliance mets
thierry-germain-saumur-blanc-linsolite-2018;1.5 kg;Vallée de la Loire;Thierry Germain;Saumur Blanc;Blanc;Chenin;2019;5-7 ans;75cl;12,50%;12°C;Risotto saumon, Salade de chèvre chaud, Saumon au beurre blanc
thierry-germain-saumur-blanc-terres-2014;1.5 kg;Vallée de la Loire;Thierry Germain;Saumur Blanc;Blanc;Chenin;2014;6-8 ans;75cl;12,50%;12°C;Sushis, Tartare de saumon
thierry-germain-saumur-champigny-franc-de-pied-2016;1.5 kg;Vallée de la Loire;Thierry Germain;Saumur-Champigny;Rouge;Cabernet Franc;2016;5-10 ans;75cl;13%;15°C;Gibier, Tartare de Boeuf, Viande rouge
thierry-germain-saumur-champigny-outre-terre-2014;1.5 kg;Vallée de la Loire;Thierry Germain;Saumur-Champigny;Rouge;Cabernet Franc;2014;10-15 ans;75cl;13%;15°C;Boudin aux pommes, Gibier, Queue de boeuf à la cuillière, Tartare de Boeuf, Viande rouge
thierry-germain-saumur-champigny-outre-terre-2016;1.5 kg;Vallée de la Loire;Thierry Germain;Saumur-Champigny;Rouge;Cabernet Franc;2016;10-15 ans;75cl;13%;15°C;Boudin aux pommes, Gibier, Queue de boeuf à la cuillière, Tartare de Boeuf, Viande rouge
pierre-martin-sancerre-les-monts-damnes-2018;1.5 kg;Vallée de la Loire;Pierre Martin;Sancerre;Blanc;Sauvignon Blanc;2019;3-5 ans;75cl;;11°C;Crustacés, Cuisine Asiatique, Fruits de mer, Poissons
la-cotelleraie-saint-nicolas-de-bourgueil-le-vau-jaumier-2016;1.5 kg;Vallée de la Loire;Domaine de La Cotelleraie;Saint-Nicolas-De-Bourgueil;Rouge;Cabernet Franc;2017;5-10 ans;75cl;12,50%;15°C;Araignée de Boeuf, Civet de Lapin, Cochon de lait rôti au four
vincent-careme-vouvray-sec-2018;1.5 kg;Vallée de la Loire;Vincent Carême;Vouvray;Blanc;Chenin;2020;3-5 ans;75cl;13,5%;11°C;Apéritif, Crustacés, Fruits de mer, Poissons, Viande Blanche
vincent-careme-vouvray-moelleux-2015;1.5 kg;Vallée de la Loire;Vincent Carême;Vouvray;Blanc;Chenin;2015;3-5 ans;75cl;12,50%;11°C;Apéritif, Foie gras, Tartes aux fruits
xavier-frissant-touraine-amboise-loree-des-frenes-2015;1.5 kg;Vallée de la Loire;Xavier Frissant;Touraine Amboise;Rouge;Côt;2016;3-5 ans;75cl;;15°C;Poisson grillé, Viande rouge, Volaille
pelle-menetou-salon-blanc-le-carroir-2018;1.5 kg;Vallée de la Loire;Henry Pellé;Menetou-Salon;Blanc;Sauvignon Blanc;2019;6-8 ans;75cl;;12°C;Boudin blanc aux morilles, Cabillaud rôti, Marinade d'anchois frais
pelle-menetou-salon-blanc-morogues-2018;1.5 kg;Vallée de la Loire;Henry Pellé;Menetou-Salon;Blanc;Sauvignon Blanc;2020;3-5 ans;75cl;;12°C;Apéritif, Fromage de chèvre, Fruits de mer, Sole grillée
pelle-menetou-salon-rouge-les-cris-2015;1.5 kg;Vallée de la Loire;Henry Pellé;Menetou-Salon;Rouge;Pinot Noir;2015;6-8 ans;75cl;;15°C;Blanquette de veau, Lamproie au vin rouge, Tête de veau, Viande rouge
pelle-menetou-salon-rouge-morogues-2017;1.5 kg;Vallée de la Loire;Henry Pellé;Menetou-Salon;Rouge;Pinot Noir;2019;3-5 ans;75cl;;15°C;Grillades, Viande rouge, Volaille
pelle-sancerre-rouge-la-croix-au-garde-2017;1.5 kg;Vallée de la Loire;Henry Pellé;Sancerre;Rouge;Pinot Noir;2018;4-7 ans;75cl;;15°C;Grillades, Viande rouge, Volaille
pelle-sancerre-blanc-la-croix-au-garde-2018;1.5 kg;Vallée de la Loire;Henry Pellé;Sancerre;Blanc;Sauvignon Blanc;2019;4-7 ans;75cl;;15°C;Fromage de chèvre, Fruits de mer, Poissons
domaine-rotier-gaillac-blanc-sec-renaissance-2015;1.5 kg;Sud Ouest;Rotier;Gaillac;Blanc;20% Sauvignon, 80% Loin de l'oeil;2015;3-5 ans;75cl;;11°C;Fromage de chèvre, Poissons, Volaille
domaine-rotier-gaillac-blanc-doux-les-gravels-2016;1.5 kg;Sud Ouest;Rotier;Gaillac;Blanc;20% Sauvignon, 80% Loin de l'oeil;2016;5-10 ans;75cl;;10°C;Desserts, Foie gras, Tartes aux fruits
domaine-rotier-gaillac-rouge-les-gravels-2016;1.5 kg;Sud Ouest;Rotier;Gaillac;Rouge;Braucol, Duras, Prunelart, Syrah;2016;3-5 ans;75cl;;17°C;Cassoulet, Grillades, Magret de Canard, Viande rouge
domaine-rotier-gaillac-rouge-lame-2016;1.5 kg;Sud Ouest;Rotier;Gaillac;Rouge;40% Syrah, 60% Duras;2016;15 ans et +;75cl;;17°C;Cassoulet, Gibier, Grillades, Magret de Canard, Viande rouge
domaine-rotier-gaillac-rouge-renaissance-2016;1.5 kg;Sud Ouest;Rotier;Gaillac;Rouge;30% Cabernet Sauvignon, 30% Syrah, 40% Duras;2016;6-8 ans;75cl;;17°C;Cassoulet, Gibier, Gigot, Magret de Canard, Viandes marinées
domaine-de-joy-cotes-de-gascogne-envie-de-joy-2018;1.5 kg;Sud Ouest;Domaine de Joy;Côte de Gascogne;Blanc;Colombard, Gros Manseng, Ugni Blanc;2018;3-5 ans;75cl;12,50%;11°C;Apéritif, Crustacés, Fromage de chèvre, Poisson grillé
domaine-de-joy-cotes-de-gascogne-blanc-moelleux-saint-andre-2018;1.5 kg;Sud Ouest;Domaine de Joy;Côte de Gascogne;Blanc;Gros Manseng;2020;3-5 ans;75cl;12,50%;11°C;Chocolat, Foie gras, Fromage bleu, Tartes aux fruits
chateau-plaisance-fronton-2017;1.5 kg;Sud Ouest;Château Plaisance;Fronton;Rouge;24% Syrah, 68% Negrette, 8% Cabernet-Franc;2018;3-5 ans;75cl;12,50%;14°C;Charcuterie, Jambon de Bayonne, Saucisse de Toulouse
chateau-plaisance-fronton-rose-2019;1.5 kg;Sud Ouest;Château Plaisance;Fronton;Rosé;15% Syrah, 25% Gamay, 60% Negrette;2019;3-5 ans;75cl;12,50%;11°C;Apéritif, Charcuterie, Jambon de Bayonne, Salade
chateau-plaisance-fronton-to-co-que-cal-2015;1.5 kg;Sud Ouest;Château Plaisance;Fronton;Rouge;Negrette;;10-15 ans;75cl;13%;16°C;Charcuterie, Cou d'oie confit, Escaoudon Landais, Jambon de Bayonne
matthieu-cosse-cahors-solis-2018;1.5 kg;Sud Ouest;Matthieu Cosse;Cahors;Rouge;Malbec;2018;6-8 ans;75cl;13%;16°C;Confit de canard, Filet de boeuf, Lièvre à la broche
matthieu-cosse-cahors-le-sid-2014;1.5 kg;Sud Ouest;Matthieu Cosse;Cahors;Rouge;Malbec, Merlot, Tannat;2014;15 ans et +;75cl;13,5%;17°C;Confit de canard, Filet de boeuf, Lièvre à la broche
domaine-plageoles-cotes-du-tarn-blanc-sec-ondenc;1.5 kg;Sud Ouest;Plageoles;Côtes du Tarn;Blanc;Ondenc;2018;3-5 ans;75cl;14%;11°C;Pieds de porc glacés, Purée de haricots tarbais, Rilettes d'anguilles
domaine-plageoles-vin-de-france-contre-pied-2016;1.5 kg;Sud Ouest;Plageoles;;Rouge;Duras;2016;3-5 ans;75cl;14,5%;15°C;Cassoulet, Confit de canard, Viande rouge
albert-mann-gewurztraminer-2017;1.5 kg;Alsace;Albert Mann;Alsace Gewurztraminer;Blanc;Gewurztraminer;2019;4-7 ans;75cl;14%;12°C;Foie gras, Gambas au gingembre, Munster
albert-mann-pinot-gris-cuvee-albert-2017;1.5 kg;Alsace;Albert Mann;Alsace Pinot Gris;Blanc;Pinot Gris;2017;6-8 ans;75cl;13%;12°C;Côtelettes de porc aux pommes, Poêlée de champignons, Tajine de veau aux abricots
albert-mann-pinot-gris-grand-cru-furstentum-2016;1.5 kg;Alsace;Albert Mann;Alsace Grand Cru;Blanc;Pinot Gris;2016;10-15 ans;75cl;13%;12°C;Riz de Veau
albert-mann-riesling-grand-cru-schlossberg-2018;1.5 kg;Alsace;Albert Mann;Alsace Grand Cru;Blanc;Riesling;2018;10-15 ans;75cl;13,5%;12°C;Carpaccio de Saint-Jacques, Risotto aux crevettes, Skrei de Norvège
domaine-schoenheitz-cremant-dalsace-memoire-granit-extra-brut;1.5 kg;Alsace;Schoenheitz;Crémant d'Alsace;Blanc;Pinot Auxerrois;;;75cl;12%;9°C;Apéritif, Fromages, Huîtres, Poissons
domaine-schoenheitz-gewurztraminer-lisenberg-2015;1.5 kg;Alsace;Schoenheitz;Alsace Gewurztraminer;Blanc;Gewurztraminer;2017;8-10 ans;75cl;13%;12°C;Apéritif, Foie gras, Munster, Plats exotiques, Tartes aux fruits
domaine-schoenheitz-muscat-2017;1.5 kg;Alsace;Schoenheitz;Alsace Muscat;Blanc;Muscat;2019;3-5 ans;75cl;12%;12°C;Apéritif, Asperges, Coquilles Saint Jacques, Sushis
domaine-schoenheitz-pinot-blanc-val-saint-gregoire-2017;1.5 kg;Alsace;Schoenheitz;Alsace Pinot Blanc;Blanc;Pinot Blanc;2017;3-5 ans;75cl;13%;12°C;Apéritif, Salade, Tarte flambée
domaine-schoenheitz-pinot-gris-herrenreben-2017;1.5 kg;Alsace;Schoenheitz;Alsace Pinot Gris;Blanc;Pinot Gris;2017;8-10 ans;75cl;13%;12°C;Apéritif, Caille aux raisins, Foie gras, Volaille
domaine-schoenheitz-pinot-noir-herrenreben-2017;1.5 kg;Alsace;Schoenheitz;Alsace Pinot Noir;Rouge;Pinot Noir;2019;8-10 ans;75cl;14,5%;15°C;Boeuf bourguignon, Gibier, Viande rouge
domaine-schoenheitz-pinot-noir-val-saint-gregoire-2017;1.5 kg;Alsace;Schoenheitz;Alsace Pinot Noir;Rouge;Pinot Noir;2019;6-8 ans;75cl;14,5%;15°C;Boeuf bourguignon, Sandre au Pinot Noir, Viande rouge
domaine-schoenheitz-pinot-noir-tradition-2019;1.5 kg;Alsace;Schoenheitz;Alsace Pinot Noir;Rouge;Pinot Noir;2020;3-5 ans;75cl;13%;15°C;Aiguillette de boeuf au Pinot Noir, Charcuterie, Grillades, Viande rouge
domaine-schoenheitz-riesling-herrenreben-2018;1.5 kg;Alsace;Schoenheitz;Alsace Riesling;Blanc;Riesling;2019;8-10 ans;75cl;13%;12°C;Choucroute, Crustacés, Fromage de chèvre, Fruits de mer, Poissons, Volaille
francois-baur-pinot-gris-herrenweg-de-turckheim-2018;1.5 kg;Alsace;François Baur;Alsace Pinot Gris;Blanc;Pinot Gris;2020;4-7 ans;75cl;13%;12°C;Baeckeoffe, Gibier, Poêlée de champignons, Volaille
francois-baur-pinot-noir-sang-du-dragon-2017;1.5 kg;Alsace;François Baur;Alsace Pinot Noir;Rouge;Pinot Noir;2019;8-10 ans;75cl;14%;15°C;Gibier, Grillades, Viande rouge
francois-baur-riesling-grand-cru-brand-clos-de-la-treille-2017;1.5 kg;Alsace;François Baur;Alsace Grand Cru;Blanc;Riesling;2017;6-8 ans;75cl;13,5%;12°C;Choucroute, Huîtres, Poissons, Viande Blanche, Volaille
francois-baur-pinot-noir-schlittweg-2017;1.5 kg;Alsace;François Baur;Alsace Pinot Noir;Rouge;Pinot Noir;2019;3-5 ans;75cl;13,5%;14°C;Charcuterie, Viande Blanche, Viande rouge, Volaille
paul-ginglinger-riesling-grand-cru-pfersigberg-2018;1.5 kg;Alsace;Paul Ginglinger;Alsace Grand Cru;Blanc;Riesling;2019;10-12 ans;75cl;13%;12°C;Choucroute, Coq au Riesling, Crustacés, Huîtres, Poissons, Viande Blanche
schoech-gewurztraminer-vt-2017;1.5 kg;Alsace;Maurice Schoech;Alsace Gewurztraminer;Blanc;Gewurztraminer;2018;10-15 ans;75cl;12%;11°C;Apéritif, Desserts, Foie gras
emile-boeckel-cremant-brut-blanc-de-blancs;1.5 kg;Alsace;Emile Boeckel;Crémant d'Alsace;Blanc;;;3-5 ans;75cl;12%;9°C;Apéritif, Fromages, Huîtres, Poissons
camin-larredya-jurancon-sec-la-part-davant-2018;1.5 kg;Sud Ouest;Camin Larredya;Jurançon;Blanc;Gros Manseng, Petit Courbu, Petit Manseng;2019;3-5 ans;75cl;14%;11°C;Charcuterie, Fromages, Poissons, Viande Blanche
camin-larredya-jurancon-moelleux-costat-darrer-2018;1.5 kg;Sud Ouest;Camin Larredya;Jurançon;Blanc;Gros Manseng, Petit Manseng;2021;3-5 ans;75cl;13%;10°C;Apéritif, Cuisine orientale, Foie gras, Fromage de brebis
jean-paul-brun-beaujolais-le-ronsay-2016;1.5 kg;Beaujolais;Jean-Paul Brun;Beaujolais;Rouge;Gamay;2017;3-5 ans;75cl;12%;14°C;Apéritif, Charcuterie, Grillades
domaine-de-montgilet-anjou-blanc-2016;1.5 kg;Vallée de la Loire;Montgilet;Anjou;Blanc;Chenin;2016;4-7 ans;75cl;14%;12°C;Crustacés, Poissons, Volaille
domaine-de-montgilet-anjou-rouge-2016;1.5 kg;Vallée de la Loire;Montgilet;Anjou;Rouge;Cabernet Franc;2015;3-5 ans;75cl;13%;14°C;Charcuterie, Fromages légers, Grillades, Volaille
domaine-de-montgilet-coteaux-de-laubance-les-trois-schistes-2016;1.5 kg;Vallée de la Loire;Montgilet;Coteaux de l'Aubance;Blanc;Chenin;2018;6-8 ans;75cl;10%;10°C;Chocolat, Foie gras, Fromage bleu, Tartes aux fruits
domaine-de-montgilet-coteaux-de-laubance-2017;1.5 kg;Vallée de la Loire;Montgilet;Coteaux de l'Aubance;Blanc;Chenin;2017;3-5 ans;75cl;11%;10°C;Chocolat, Foie gras, Fromage bleu, Tartes aux fruits
domaine-de-montgilet-vin-de-france-grolleau-2019;1.5 kg;Vallée de la Loire;Montgilet;;Rouge;Grolleau;2020;3 ans;75cl;12%;13°C;Apéritif, Charcuterie, Poissons, Viande Blanche
domaine-saint-nicolas-fiefs-vendeens-blanc-le-haut-des-clous-2017;1.5 kg;Vallée de la Loire;Saint-Nicolas;Fiefs Vendéens;Blanc;Chenin;2018;6-8 ans;75cl;12,50%;12°C;Crustacés, Fromages, Poissons
domaine-saint-nicolas-fiefs-vendeens-rouge-cuvee-jacques-2016;1.5 kg;Vallée de la Loire;Saint-Nicolas;Fiefs Vendéens;Rouge;Pinot Noir;2018;10-12 ans;75cl;12%;14°C;Charcuterie, Gibier, Viande rouge
domaine-saint-nicolas-fiefs-vendeens-rouge-reflets-2018;1.5 kg;Vallée de la Loire;Saint-Nicolas;Fiefs Vendéens;Rouge;Cabernet Franc, Gamay, Pinot Noir;2018;3-5 ans;75cl;12%;14°C;Charcuterie, Grillades, Poissons, Viande rouge
clos-du-mont-olivet-cotes-du-rhone-rose-farel-2019;1.5 kg;Rhône;Clos Du Mont-Olivet;Lirac;Rosé;95% Mourvèdre, Grenache;2021;3-5 ans;75cl;14%;11°C;Apéritif, Grillades, Poissons, Salade
clos-du-mont-olivet-vin-de-france-la-sabonite;1.5 kg;Rhône;Clos Du Mont-Olivet;;Rouge;Grenache;;3-5 ans;75cl;13%;14°C;Charcuterie, Grillades, Viande rouge
maurice-schoech-cremant-dalsace-brut-rose-bulles-de-granite;1.5 kg;Alsace;Maurice Schoech;Crémant d'Alsace;;;;3-5 ans;75cl;12%;9°C;Apéritif, Fromages, Poissons, Tartes aux fruits
paul-ginglinger-pinot-blanc-2017;1.5 kg;Alsace;Paul Ginglinger;Alsace Muscat;Blanc;Pinot Blanc;2018;3-5 ans;75cl;12,50%;11°C;Apéritif, Fromage de chèvre, Poisson grillé, Salade
maurice-schoech-pinot-gris-vendanges-tardives-2015;1.5 kg;Alsace;Maurice Schoech;Alsace Pinot Gris;Blanc;Pinot Gris;2017;10-15 ans;75cl;12%;11°C;Apéritif, Desserts, Foie gras
maurice-schoech-riesling-vendanges-tardives-2017;1.5 kg;Alsace;Maurice Schoech;Alsace Riesling;Blanc;Riesling;2018;10-15 ans;75cl;12%;11°C;Apéritif, Desserts, Foie gras
maurice-schoech-pinot-auxerrois-2018;1.5 kg;Alsace;Maurice Schoech;Alsace;Blanc;Pinot Auxerrois;2019;3-5 ans;75cl;13%;12°C;Apéritif, Fromages, Tarte flambée
maurice-schoech-gewurztraminer-2018;1.5 kg;Alsace;Maurice Schoech;Alsace Gewurztraminer;Blanc;Gewurztraminer;2020;3-5 ans;75cl;13%;12°C;Apéritif, Cuisine Exotique, Desserts, Foie gras, Munster
maurice-schoech-pinot-gris-2018;1.5 kg;Alsace;Maurice Schoech;Alsace Pinot Gris;Blanc;Pinot Gris;2020;3-5 ans;75cl;13,5%;12°C;Abats, Foie gras, Gibier, Viande Blanche
maurice-schoech-pinot-noir-2018;1.5 kg;Alsace;Maurice Schoech;Alsace Pinot Noir;Rouge;Pinot Noir;2019;3-5 ans;75cl;12,50%;14°C;Charcuterie, Grillades, Pizza, Viande rouge
maurice-schoech-riesling-2018;1.5 kg;Alsace;Maurice Schoech;Alsace Riesling;Blanc;Riesling;2018;3-5 ans;75cl;13%;12°C;Crustacés, Poissons, Volaille
maurice-schoech-pinot-noir-piece-de-chene-2016;1.5 kg;Alsace;Maurice Schoech;Alsace Pinot Noir;Rouge;Pinot Noir;2019;6-8 ans;75cl;13,5%;14°C;Gibier, Grillades, Viande rouge
maurice-schoech-riesling-grand-cru-kaefferkopf-2018;1.5 kg;Alsace;Maurice Schoech;Alsace Grand Cru;Blanc;Riesling;2019;8-10 ans;75cl;13%;12°C;Choucroute, Crustacés, Huîtres, Poissons, Volaille
maurice-schoech-pinot-gris-grand-cru-schlossberg-2017;1.5 kg;Alsace;Maurice Schoech;Alsace Grand Cru;Blanc;Pinot Gris;2018;8-10 ans;75cl;13%;12°C;Choucroute, Cuisine Exotique, Foie gras, Viande Blanche, Volaille
maurice-schoech-riesling-grand-cru-rangen-de-thann-2016;1.5 kg;Alsace;Maurice Schoech;Alsace Grand Cru;Blanc;Riesling;2018;10-15 ans;75cl;13%;12°C;Choucroute, Crustacés, Poissons, Viande Blanche, Volaille
emile-boeckel-cremant-brut-rose;1.5 kg;Alsace;Emile Boeckel;Crémant d'Alsace;;;;3-5 ans;75cl;12%;9°C;Apéritif, Chocolat, Desserts, Fruits
domaine-peyre-rose-clos-des-cistes-2008;1.5 kg;Languedoc-Roussillon;Domaine Peyre Rose;;Rouge;Syrah 90%, Grenache, Mourvèdre;2012;15 ans et +;75cl;14,5%;16°C;Daube de boeuf, Viande rouge, Volaille
domaine-de-la-monardiere-vacqueyras-les-deux-monardes-2017;1.5 kg;Rhône;La Monardière;Vacqueyras;Rouge;Grenache, Syrah;2020;3-5 ans;75cl;14%;16°C;Gibier, Grillades, Viande rouge
chateau-turcaud-rose-2019;1.5 kg;Bordeaux;Château Turcaud;Bordeaux;Rosé;Cabernet Franc, Cabernet Sauvignon, Merlot;2020;3 ans;75cl;12,50%;10°C;Apéritif, Charcuterie, Grillades, Poisson grillé, Salade
philippe-nusswitz-duche-uzes-orenia-rose-2019;1.5 kg;Languedoc-Roussillon;Les Vins de Philippe Nusswitz;Duché d'Uzès;Rosé;Grenache, Syrah;2021;3 ans;75cl;13%;10°C;Apéritif, Grillades, Rouget grillé, Salade
philippe-nusswitz-duche-uzes-orenia-rouge-2017;1.5 kg;Languedoc-Roussillon;Les Vins de Philippe Nusswitz;Duché d'Uzès;Rouge;Grenache, Syrah;2018;3-5 ans;75cl;13,5%;15°C;Grillades, Viande Blanche, Viande rouge, Volaille
philippe-nusswitz-duche-uzes-orenia-blanc-2018;1.5 kg;Languedoc-Roussillon;Les Vins de Philippe Nusswitz;Duché d'Uzès;Blanc;Grenache Blanc, Marsanne, Roussanne, Viognier;2020;3-5 ans;75cl;13,5%;12°C;Apéritif, Fromage de chèvre, Poisson grillé, Viande Blanche, Volaille
chateau-ollieux-romanis-corbieres-rose-classique-2019;1.5 kg;Languedoc-Roussillon;Ollieux Romanis;Corbières;Rosé;Cinsault, Grenache Gris;2021;3 ans;75cl;13%;10°C;Apéritif, Charcuterie, Grillades, Poisson grillé, Salade
mourgues-du-gres-costieres-de-nimes-capitelles-rose-2018;1.5 kg;Rhône;Mourgues du Grès;Costières de Nîmes;Rosé;Grenache, Mourvèdre, Syrah;2020;3 ans;75cl;14,5%;10°C;Apéritif, Cuisine Exotique, Saumon fumé, Sucré-salé
chateau-de-la-selve-igp-coteaux-de-lardeche-maguelonne-rose-2019;1.5 kg;Rhône;Château de la Selve;Côteaux de l'Ardèche;Rosé;Cinsault, Grenache, Syrah;2021;3 ans;75cl;12%;10°C;Apéritif, Grillades, Légumes farcis
triennes-igp-mediterranee-rose-2019;1.5 kg;Provence;Triennes;Méditerranée;Rosé;Cinsault, Grenache, Merlot, Syrah;2021;3 ans;75cl;13%;11°C;Apéritif, Grillades, Poisson grillé, Salade
tempier-bandol-rose-2019;1.5 kg;Provence;Tempier;Bandol;Rosé;Carignan, Cinsault, Grenache, Mourvèdre;2021;4-7 ans;75cl;13,5%;11°C;Apéritif, Bouillabaisse, Cuisine provençale, Grillades
saumaize-michelin-macon-vergisson-sur-la-roche-2017;1.5 kg;Bourgogne;Saumaize-Michelin;Mâcon-Vergisson;Blanc;Chardonnay;2020;;75cl;13%;12°C;Apéritif, Fromages, Poissons, Volaille
saumaize-michelin-pouilly-fuisse-clos-sur-la-roche-2018;1.5 kg;Bourgogne;Saumaize-Michelin;Pouilly-Fuissé;Blanc;Chardonnay;2020;4-7 ans;75cl;13,5%;12°C;Fromages, Poisson en sauce, Viande Blanche, Volaille
saumaize-michelin-pouilly-fuisse-les-ronchevats-2018;1.5 kg;Bourgogne;Saumaize-Michelin;Pouilly-Fuissé;Blanc;Chardonnay;2020;4-7 ans;75cl;13,5%;12°C;Fromages, Poisson en sauce, Viande Blanche, Volaille
saumaize-michelin-pouilly-fuisse-vignes-blanches-2018;1.5 kg;Bourgogne;Saumaize-Michelin;Pouilly-Fuissé;Blanc;Chardonnay;2020;3-5 ans;75cl;13%;12°C;Fromages, Poisson en sauce, Viande Blanche, Volaille
saumaize-michelin-saint-veran-2018;1.5 kg;Bourgogne;Saumaize-Michelin;Saint-Véran;Blanc;Chardonnay;2020;3-5 ans;75cl;13%;12°C;Fromages, Poisson en sauce, Viande Blanche, Volaille
jacqueson-rully-blanc-1er-cru-la-pucelle-2018;1.5 kg;Bourgogne;Domaine Jacqueson;Rully 1er Cru;Blanc;Chardonnay;2020;4-7 ans;75cl;13,5%;12°C;Fromages, Poisson en sauce, Viande Blanche, Volaille
jacqueson-rully-rouge-les-chaponnieres-2018;1.5 kg;Bourgogne;Domaine Jacqueson;Rully;Rouge;Pinot Noir;2020;4-7 ans;75cl;13,5%;15°C;Boeuf bourguignon, Entrecôte, Viande Blanche, Viande rouge, Volaille
jacqueson-rully-rouge-1er-cru-les-cloux-2018;1.5 kg;Bourgogne;Domaine Jacqueson;Rully 1er Cru;Rouge;Pinot Noir;2020;6-8 ans;75cl;13,5%;15°C;Boeuf bourguignon, Entrecôte, Viande Blanche, Viande rouge, Volaille
domaine-brintet-mercurey-blanc-vieilles-vignes-2018;1.5 kg;Bourgogne;Brintet;Mercurey;Blanc;Chardonnay;2020;4-7 ans;75cl;13%;12°C;Poisson en sauce, Viande Blanche, Volaille
domaine-brintet-mercurey-rouge-vieilles-vignes-2018;1.5 kg;Bourgogne;Brintet;Mercurey;Rouge;Pinot Noir;2020;4-7 ans;75cl;13%;15°C;Boeuf bourguignon, Viande Blanche, Viande en sauce, Volaille
domaine-des-croix-beaune-1er-cru-les-cent-vignes-2017;1.5 kg;Bourgogne;Domaine des Croix;Beaune 1er Cru;Rouge;Pinot Noir;2019;8-10 ans;75cl;12,50%;15°C;Boeuf bourguignon, Viande Blanche, Viande en sauce, Volaille
domaine-des-croix-savigny-les-beaune-1er-cru-les-peuillets-2015;1.5 kg;Bourgogne;Domaine des Croix;Savigny-Lès-Beaune 1er Cru;Rouge;Pinot Noir;2018;8-10 ans;75cl;12,50%;15°C;Boeuf bourguignon, Viande Blanche, Viande en sauce, Volaille
domaine-des-croix-corton-grand-cru-les-greves-2017;1.5 kg;Bourgogne;Domaine des Croix;Corton;Rouge;Pinot Noir;2019;15 ans et +;75cl;13,5%;15°C;Boeuf bourguignon, Viande Blanche, Viande en sauce, Volaille
domaine-des-croix-corton-charlemagne-grand-cru-2016;1.5 kg;Bourgogne;Domaine des Croix;Corton Charlemagne;Blanc;Chardonnay;2019;15 ans et +;75cl;13%;12°C;Poissons nobles, Viande Blanche, Volaille
alphonse-mellot-sancerre-blanc-edmond-2016;1.5 kg;Vallée de la Loire;Alphonse Mellot;Sancerre;Blanc;Sauvignon Blanc;2018;6-8 ans;75cl;13%;12°C;Fruits de mer, Huîtres, Poisson grillé
antoine-marie-arena-vin-de-france-bianco-gentile-2018;1.5 kg;Corse;Arena;;Blanc;Bianco Gentile;2018;3-5 ans;75cl;14%;12°C;Apéritif, Charcuterie, Poissons
antoine-marie-arena-vin-de-france-rouge-san-giovanni-2017;1.5 kg;Corse;Arena;;Rouge;Carcaghjolu, Morescone;2017;3-5 ans;75cl;14%;12°C;Charcuterie, Légumes croquants, Quiche aux légumes, Volaille
jean-baptiste-arena-patrimonio-rouge-grotte-di-sole-2018;1.5 kg;Corse;Arena;Patrimonio;Rouge;Nielluccio;2018;4-7 ans;75cl;14%;15°C;Agneau, Charcuterie, Grillades, Viande rouge
jean-batiste-arena-muscat-du-cap-corse-2015;1.5 kg;Corse;Arena;Muscat du Cap Corse;Blanc;Muscat à petits grains;2015;8-10 ans;75cl;14%;11°C;Apéritif, Desserts, Foie gras, Ricotta à la fraise, Tartes aux fruits
jean-baptiste-arena-patrimonio-morta-maio;1.5 kg;Corse;Arena;Patrimonio;Blanc;Vermentino;;3-5 ans;75cl;12,8%;12°C;Apéritif, Charcuterie, Poissons
alain-graillot-crozes-hermitage-rouge-la-guiraude-2016;1.5 kg;Rhône;Alain Graillot;Crozes-Hermitage;Rouge;100% Syrah;2018;10-15 ans;75cl;13%;15°C;Agneau, Gibier, Grillades, Viande rouge
alain-graillot-crozes-hermitage-rouge-2017;1.5 kg;Rhône;Alain Graillot;Crozes-Hermitage;Rouge;100% Syrah;2019;3-5 ans;75cl;13%;15°C;Agneau, Charcuterie, Grillades, Viande rouge
alain-graillot-crozes-hermitage-blanc-2018;1.5 kg;Rhône;Alain Graillot;Crozes-Hermitage;Blanc;20% Roussanne, 80% Marsanne;2018;3-5 ans;75cl;13%;12°C;Apéritif, Crudités, Poissons
cave-de-castelmaure-corbieres-rouge-vigneron-2018;1.5 kg;Languedoc-Roussillon;Castelmaure;Corbières;Rouge;Carignan, Grenache, Syrah;2019;3-5 ans;75cl;13,5%;15°C;Charcuterie, Grillades, Viande Blanche, Viande rouge
domaine-la-croix-belle-cotes-de-thongue-blanc-champ-des-lys-2018;1.5 kg;Languedoc-Roussillon;La Croix Belle;Côtes de Thongue;Blanc;Chardonnay, Grenache Blanc, Sauvignon Blanc, Viognier;2019;3-5 ans;75cl;13%;12°C;Apéritif, Coquilles Saint Jacques, Fromages, Poisson grillé
domaine-la-croix-belle-cotes-de-thongue-rouge-la-caringole-2018;1.5 kg;Languedoc-Roussillon;La Croix Belle;Pays d'Oc;Rouge;Carignan, Merlot, Syrah;2021;3-5 ans;75cl;13%;15°C;Grillades, Légumes du Soleil, Viande rouge
domaine-la-croix-belle-cotes-de-thongue-rouge-le-champ-du-coq-2016;1.5 kg;Languedoc-Roussillon;La Croix Belle;Côtes de Thongue;Rouge;Grenache, Syrah;2019;4-7 ans;75cl;13,5%;15°C;Couscous, Grillades, Tajine, Viande rouge
